Date
2020-01-01 00:00:00.000000000
2020-01-01 17:32:15.135135135
2020-01-02 11:04:30.270270270
2020-01-03 04:36:45.405405405
2020-01-03 22:09:00.540540540
2020-01-04 15:41:15.675675675
2020-01-05 09:13:30.810810810
2020-01-06 02:45:45.945945945
2020-01-06 20:18:01.081081081
2020-01-07 13:50:16.216216216
2020-01-08 07:22:31.351351351
2020-01-09 00:54:46.486486486
2020-01-09 18:27:01.621621621
2020-01-10 11:59:16.756756756
2020-01-11 05:31:31.891891891
2020-01-11 23:03:47.027027027
2020-01-12 16:36:02.162162162
2020-01-13 10:08:17.297297297
2020-01-14 03:40:32.432432432
2020-01-14 21:12:47.567567567
2020-01-15 14:45:02.702702702
2020-01-16 08:17:17.837837837
2020-01-17 01:49:32.972972973
2020-01-17 19:21:48.108108108
2020-01-18 12:54:03.243243243
2020-01-19 06:26:18.378378378
2020-01-19 23:58:33.513513513
2020-01-20 17:30:48.648648648
2020-01-21 11:03:03.783783783
2020-01-22 04:35:18.918918918
2020-01-22 22:07:34.054054054
2020-01-23 15:39:49.189189189
2020-01-24 09:12:04.324324324
2020-01-25 02:44:19.459459459
2020-01-25 20:16:34.594594594
2020-01-26 13:48:49.729729729
2020-01-27 07:21:04.864864865
2020-01-28 00:53:20.000000000
2020-01-28 18:25:35.135135135
2020-01-29 11:57:50.270270270
2020-01-30 05:30:05.405405405
2020-01-30 23:02:20.540540540
2020-01-31 16:34:35.675675675
2020-02-01 10:06:50.810810810
2020-02-02 03:39:05.945945946
2020-02-02 21:11:21.081081081
2020-02-03 14:43:36.216216216
2020-02-04 08:15:51.351351351
2020-02-05 01:48:06.486486486
2020-02-05 19:20:21.621621621
2020-02-06 12:52:36.756756756
2020-02-07 06:24:51.891891892
2020-02-07 23:57:07.027027027
2020-02-08 17:29:22.162162162
2020-02-09 11:01:37.297297297
2020-02-10 04:33:52.432432432
2020-02-10 22:06:07.567567567
2020-02-11 15:38:22.702702702
2020-02-12 09:10:37.837837837
2020-02-13 02:42:52.972972973
2020-02-13 20:15:08.108108108
2020-02-14 13:47:23.243243243
2020-02-15 07:19:38.378378378
2020-02-16 00:51:53.513513513
2020-02-16 18:24:08.648648648
2020-02-17 11:56:23.783783783
2020-02-18 05:28:38.918918919
2020-02-18 23:00:54.054054054
2020-02-19 16:33:09.189189189
2020-02-20 10:05:24.324324324
2020-02-21 03:37:39.459459459
2020-02-21 21:09:54.594594594
2020-02-22 14:42:09.729729730
2020-02-23 08:14:24.864864865
2020-02-24 01:46:40.000000000
2020-02-24 19:18:55.135135135
2020-02-25 12:51:10.270270270
2020-02-26 06:23:25.405405405
2020-02-26 23:55:40.540540540
2020-02-27 17:27:55.675675675
2020-02-28 11:00:10.810810811
2020-02-29 04:32:25.945945946
2020-02-29 22:04:41.081081081
2020-03-01 15:36:56.216216216
2020-03-02 09:09:11.351351351
2020-03-03 02:41:26.486486486
2020-03-03 20:13:41.621621621
2020-03-04 13:45:56.756756757
2020-03-05 07:18:11.891891892
2020-03-06 00:50:27.027027027
2020-03-06 18:22:42.162162162
2020-03-07 11:54:57.297297297
2020-03-08 05:27:12.432432432
2020-03-08 22:59:27.567567567
2020-03-09 16:31:42.702702702
2020-03-10 10:03:57.837837838
2020-03-11 03:36:12.972972973
